sr,halo_beta,contrast_mag,sep_arcsec,bias_default,bias_psf_clean,epsf_tag,refusal_note
0.3,4.765,3.0,0.1,-0.0152161341164479,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.3,4.765,3.0,0.15,-0.029841244402979084,-0.013877296511494053,strict,
0.3,4.765,3.0,0.2,-0.03632175814940375,-0.02193895770806431,strict,
0.3,4.765,3.0,0.3,-0.003414887710542436,0.014673059869999783,strict,
0.3,4.765,3.0,0.45,-0.014915291264529507,0.005089438691351922,strict,
0.3,4.765,3.0,0.6,-0.012972283422602093,0.004418634835922919,strict,
0.3,4.765,3.0,0.8,-0.0246678953001202,-0.013230532817554874,strict,
0.3,4.765,3.0,1.0,0.007279471523251757,0.01171836955784894,strict,
0.3,4.765,3.0,1.2,0.05206049989842315,0.0379005208550251,strict,
0.3,4.765,3.0,0.1,-0.012627853396519395,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.3,4.765,3.0,0.15,-0.0377672975536954,-0.021393629511857137,strict,
0.3,4.765,3.0,0.2,-0.008106097315116079,0.008691977919643545,strict,
0.3,4.765,3.0,0.3,-0.02382416039901669,-0.007381452224403673,strict,
0.3,4.765,3.0,0.45,-0.030464417352614237,-0.01523689329197453,strict,
0.3,4.765,3.0,0.6,-0.020623146812553117,-0.0037991275527778368,strict,
0.3,4.765,3.0,0.8,-0.026967068408048245,-0.01575884929957072,strict,
0.3,4.765,3.0,1.0,-0.0011233249284194335,0.0031205582897714246,strict,
0.3,4.765,3.0,1.2,0.009354839882220634,-0.0015189559942308528,strict,
0.3,4.765,3.0,0.1,-0.024202561806820067,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.3,4.765,3.0,0.15,-0.00647385918198623,0.01106403133350864,strict,
0.3,4.765,3.0,0.2,-0.03144720734344941,-0.014788906844920624,strict,
0.3,4.765,3.0,0.3,0.01857644939267583,0.041797518002122946,strict,
0.3,4.765,3.0,0.45,0.0005636027365341079,0.017769230460770613,strict,
0.3,4.765,3.0,0.6,-0.005500046939807879,0.011877759818046285,strict,
0.3,4.765,3.0,0.8,-0.02333626251719839,-0.011128614304474593,strict,
0.3,4.765,3.0,1.0,-0.028935315780027338,-0.025221097323530006,strict,
0.3,4.765,3.0,1.2,0.02382472870228508,0.013801803397170964,strict,
0.3,4.765,4.0,0.1,-0.00166072552775276,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.3,4.765,4.0,0.15,-0.008288199922432182,-0.006529073956668741,strict,
0.3,4.765,4.0,0.2,-0.0033792200749175327,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.3,4.765,4.0,0.3,-0.0029271068643446085,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
0.3,4.765,4.0,0.45,-0.021612118306118366,,strict,"0 neighbours above the 0.1% contamination floor within 1.4"" -- nothing to subtract (the star is effectively isolated)"
